id,created_at,text
71,Wed Jan 24 14:33:59 +0000 2024,"பொதுமக்கள் கேட்காத, விரும்பாத #KilambakkamBusTerminus-ஐ அவசர அவசரமாக திறந்துவிட்டு, மக்களை அவதிக்குள்ளாக்கி வருகிறது விடியா #DMK அரசு. காலை மக்கள் கேட்டதாக சொல்கிறார் அமைச்சர் @PKSekarbabu. கேட்கவே இல்லை என்றாலும், பிடிக்காத திட்டத்தை கூட மக்கள் மீது திணிப்பது தான் திராவிட மாடல்…"
72,Wed Jan 24 14:32:35 +0000 2024,"மதுரை ஜல்லிக்கட்டில் 2ம் இடம் பிடித்த இருவர்.. Bike-ஐ பரிசாக அளித்த அமைச்சர்

#Jallikattu #Madurai #2ndPrize #KeelakaraiJallikattu #MinisterMoorthy #DMK #NewsTamil24x7 #JallikattuStadium https://t.co/Uio1pX5uzo"
73,Wed Jan 24 14:29:58 +0000 2024,"கலைஞர் நூற்றாண்டு அரங்கம்

#TamilNadu | #Glimpse | #Madurai | #JallikattuStadium | #Jallikattu | #Jallikattu2024 | #ஜல்லிக்கட்டு | #DMK | #MKStalin | #KalaignarCentenaryJallikattuArena | #KalaignarNootranduEaruthaluvuthalArangam | #KalaignarCentenaryAeruthazhuvuthalArena |… https://t.co/rXGkre2dmv"
74,Wed Jan 24 14:19:55 +0000 2024,#dmk https://t.co/CP1s96Vb1O
75,Wed Jan 24 14:17:11 +0000 2024,"அது ஏன்‌ எந்த #திராவிட_ஸ்டாக்குகளும் தங்கள் ஒரிஜினல் போட்டோவை ப்ரோஃபைல் போட்டோவாக வைப்பதில்லை?

அவர்கள் முகத்தை காட்ட கூட தைரியம் இல்லாதவர்கள்

ஏனேனில்
அவ்வளவு பயம்
அவ்வளவும் பொய்

#Dravidan
#DravidianStock
#DravidianModel
#DravidarKazhgam
#DMKFails
#DMKITWING
#DMKGovt
#DMK
#MDMK https://t.co/10bdZ24lpk"
76,Wed Jan 24 14:16:27 +0000 2024,"கமலை திமுக கை கழுவுகிறதா?… திடீரென கொந்தளித்த ம.நீ.ம.!

#UpdateNews | #DMK | #MNM | #CMStalin | #KamalHassan | #Congress | #ParliamentElection | #TamilNews | #UpdateNews360
https://t.co/e8e1mM1Au4"
77,Wed Jan 24 14:16:22 +0000 2024,"கமலை திமுக கை கழுவுகிறதா?… திடீரென கொந்தளித்த ம.நீ.ம.!

#UpdateNews | #DMK | #MNM | #CMStalin | #KamalHassan | #Congress | #ParliamentElection | #TamilNews | #UpdateNews360
https://t.co/u4OGeljwhx"
78,Wed Jan 24 14:09:04 +0000 2024,"அலறிய பொதுமக்கள் - DMK மீது பாய்ச்சல் !

#udhayanidhistalin #udhayanithi #udhayanidhi #chepauk #triplicane #Chintadripet #people #karunanidhi #kalaignar #chennai #peopleofchennai #slum #slumarea #mkstalin #CMstalin #dmk #DMK #poorpeople #chennaipoorlife #fakedocument #poor https://t.co/rYROCbS4oK"
79,Wed Jan 24 14:06:24 +0000 2024,அன்றே கணித்தார் கவுண்டர் மகான்....!#dmk #mkstalin #thirumavalavan #congress https://t.co/k3akPNnS0L via @YouTube
80,Wed Jan 24 14:06:12 +0000 2024,சொன்னதை செய்த வீரன்...இந்த முறை மஹேந்திரா தார் ஜீப் பரிசு...சபாஷ் அபி சித்தர்  @SavukkuOfficial #Abisiththar #jallikkattu #DMK
81,Wed Jan 24 14:02:56 +0000 2024,Is Hindu N Ram contesting in the LS polls on a #DMK ticket ? https://t.co/FWGhNW14Pp
82,Wed Jan 24 14:02:00 +0000 2024,"ஜல்லிக்கட்டுக்கு தடை விதித்ததே திமுக மாடல் தான்.. எத்தனை ஆண்டு காலம் ஏமாத்துவீங்க? அண்ணாமலை ஆவேசம்! 

https://t.co/QmjtXaVDC3 

#Annamalai #MKStalin #Jallikattu #DMK #அண்ணாமலை"
