id,created_at,text
56,Mon Jan 29 14:15:09 +0000 2024,'@PTTVOnlineNews ஓசி சோறு #Thirumavalavan | #VCK | #DMK | #ADMK | #BJP
57,Mon Jan 29 14:03:37 +0000 2024,"#JUSTIN | தமிழ்நாட்டில் மூன்றாவது அணி அமையாது - திருமாவளவன்

#Thirumavalavan | #VCK | #DMK | #ADMK | #BJP https://t.co/bqsaRkreCF"
58,Mon Jan 29 14:03:36 +0000 2024,"தஞ்சைத் தரணியில் தொண்டர்களின் வெள்ளத்தில் நம் ஓபிஎஸ் ஐயா!

#Consultativemeeting #சுற்றுப்பயணம் #ThanjavurDistrict #OPanneerselvam #OPS #AIADMK #AIADMKChiefOPS #AIADMK_MGR_AMMA_OPS #ADMK #PublicOpinion #Theni #OPSForever https://t.co/0mGja56Cff"
59,Mon Jan 29 14:03:28 +0000 2024,"கூட்டணியில் இருந்தபோது என்ன செஞ்சீங்க மிஸ்டர் மெயின்ரோடு 😡😡

#admk #Jayakumar #EPS https://t.co/UlUU6EPqa3"
60,Mon Jan 29 14:03:10 +0000 2024,"வீர வணக்க நாள் பொதுக்கூட்டத்தின் அண்ணன் இரா.விசுவநாதன் bsc,MLA.
#நத்தம்தொகுதி
#natham @AIADMKITWINGOFL @AIADMKOfficial #admk #அதிமுக #விசுவநாதன்
@EPSTamilNadu #எடப்பாடியார் #எடப்பாடியார்அவர்கள் https://t.co/cL3lM6EtdM"
61,Mon Jan 29 14:00:41 +0000 2024,"தஞ்சைத் தரணியில் தொண்டர்களின் வெள்ளத்தில் நம் ஓபிஎஸ் ஐயா!

#Consultativemeeting #சுற்றுப்பயணம் #ThanjavurDistrict #OPanneerselvam #OPS #AIADMK #AIADMKChiefOPS #AIADMK_MGR_AMMA_OPS #ADMK #MudhalvanOPS #PublicOpinion #Theni #OPSForever https://t.co/ZnFEUhf7zj"
62,Mon Jan 29 13:55:48 +0000 2024,"வீர வணக்க நாள் பொதுக்கூட்டத்தின் ஒரு பகுதி
#நத்தம்தொகுதி
#natham @AIADMKITWINGOFL @AIADMKOfficial #admk #அதிமுக #விஸ்வநாதன்
@EPSTamilNadu #எடப்பாடியார் #எடப்பாடியார்அவர்கள் https://t.co/q4nyEEGCYz"
63,Mon Jan 29 13:53:59 +0000 2024,#ADMK #EdappadiPalanisamy
64,Mon Jan 29 13:49:56 +0000 2024,"அப்படி என்ன புரிகிறது? 😀😀😀

#EdappadiPalaniswami #EPS
#ADMK
https://t.co/Gq5gkHbcNw"
65,Mon Jan 29 13:49:01 +0000 2024,"தொடர் தோல்வியை மட்டும் சந்தித்த Palanisaamy ! 

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #Palanisaamy https://t.co/PhOOICuaLy"
66,Mon Jan 29 13:47:49 +0000 2024,"இப்படியா எடுத்துட்டுப் போறது' - அதிமுக பேனரால் பெண்ணுக்கு நேர்ந்த கதி
#banner #ADMK #EdappadiPalanisamy #police #Nakkheeran
https://t.co/LAGyJ3S0Fm"
67,Mon Jan 29 13:45:07 +0000 2024,"வீர வணக்க நாள் பொதுக்கூட்டம் #natham @AIADMKITWINGOFL @AIADMKOfficial #admk #அதிமுக #விஸ்வநாதன்
@EPSTamilNadu https://t.co/VPKpYeYZG4"
